tag,english,dutch
p1,Please enter your user account email and we will send you a link to reset your password.,Voer het e-mailadres van uw gebruikersaccount in en we sturen u een link om uw wachtwoord opnieuw in te stellen.
placeholder,Enter your email address,Vul in uw email adres
button,Send email,Stuur email
junk,"If you do not receive the email in your regular inbox, please check your junk mailbox. It could have accidentally ended up here. ","Als u de e-mail niet in uw gewone inbox ontvangt, controleer dan uw ongewenste postbus. Het kan hier per ongeluk terechtgekomen zijn."
