tag,english,dutch
h51,,
p1_1,,
p1_2,,
p1_3,,
p1_4,,
corsi_title,Pattern Memory,Patroon Geheugen
corsi_description,Click on a pattern of flashing boxes,Klik op een patroon van knipperende vakken
corsi_button,Start,Start
n_back_title,Letter Memory,Letter Geheugen
n_back_description,Recall the last letters you saw,Onthoud en vermeld de laatste letters die u hebt gezien
n_back_button,Start,Start
task_switching_title,Task Switching,Wisseltaak
task_switching_description,Do two things at once,Doe twee dingen tegelijk
task_switching_button,Start,Start
sf_36_title,Health Survey,Gezondheidsvragenlijst
sf_36_description,Tell us about you,Vertel ons over u
sf_36_button,Start,Start
phone_survey_title,Phone Survey,Telefoon enquête
phone_survey_description,Tell us about your phone usage,Vertel ons over uw telefoongebruik
phone_survey_button,Start,Start
eeg_title,Brain Measurements (Optional),Breinmeting (Optioneel)
eeg_description,Measure your brain activity,Meet uw breinactiviteit
eeg_botton,More info,Meer info
check_1,I am comfortably sitting on a chair. I am on a computer with a keyboard.,Ik zit comfortabel op een stoel. Ik zit op een computer met een toetsenbord.
p0,Confirm this by checking the box to activate the tests.,Bevestig dit door het vakje aan te vinken om de onlinetests te activeren.
p_done,Completed, Voltooid
p_unavailable,Unavailable,Niet Beschikbaar
p_unavailable_explanation,This survey will be available 3 weeks after registration, Deze enquête is 3 weken na registratie beschikbaar
reminder_tooltip,By clicking the grey button you choose to be reminded every month via email to do the tasks. You can always change your mind about these reminders.,Door op de grijze knop te klikken kiest u ervoor om elk maand via e-mail eraan herinnerd te worden om de taken uit te voeren. U kunt altijd van gedachten veranderen over deze herinneringen.
reminder_href,Remind me,Help me herinneren
reminder_href_stop,Unsubscribe from reminders,Afmelden van herinneringen
reminder_tooltip_stop,By unsubscribing we will not send any reminder emails to perform the tasks. This does not affect your further participation in this study. You can always choose to get emails again in the future by clicking on the remind me button on the test page.,Als u zich afmeldt sturen we geen herinneringsmails om de taken uit te voeren. Dit heeft geen invloed op uw verdere deelname aan dit onderzoek. U kunt er altijd voor kiezen om opnieuw e-mails te ontvangen in de toekomst door op de 
