tag,english,dutch,
t1,You can choose to reset your password through using the verification code or by following the link.,U kunt ervoor kiezen om uw wachtwoord opnieuw in te stellen door de verificatiecode te gebruiken of door de link te volgen.
t2,Verification code: ,Verificatiecode:
subject,Reset password,	Wachtwoord opnieuw in stellen
expire,Please note the verification code expires in 30 minutes after the request.,Houd er rekening mee dat de verificatiecode 30 minuten nadat u die opvraagt zal verlopen.
