tag,english,dutch
h11,Thank you for participating in our study., Bedankt voor uw deelname aan ons onderzoek.
p11,Reminder: the promotion code is used for rewarding your friend and thus he/she may know if you successfully participated or not. No other user data is shared with the friend who gave you this code.,Herinnering: Deze code wordt gebruikt om degene die u heeft doorverwezen te belonen. Door de beloning zou hij/zij kunnen zien of u wel of niet succesvol heeft deelgenomen aan dit onderzoek.
